time,hex,callsign,latitude,longitude,no_position,altitude,squawk,speed,track,vspeed
2022-03-21 06:19:00Z.514,0x780db8,CES5735,23.38668,110.61935,P,29100,2101,456,99,0
2022-03-21 06:19:01Z.976,0x780db8,,0,0,N,29100,0,458,99,-32
2022-03-21 06:19:05Z.304,0x780db8,,0,0,N,29100,0,456,99,0
2022-03-21 06:19:07Z.645,0x780db8,,23.38421,110.63471,P,29100,0,456,99,32
2022-03-21 06:19:09Z.534,0x780db8,,23.38353,110.63876,P,29100,0,457,100,0
2022-03-21 06:19:10Z.960,0x780db8,CES5735,23.38293,110.64241,P,29100,2101,457,100,0
2022-03-21 06:19:16Z.570,0x780db8,CES5735,23.38095,110.6546,P,29100,2101,457,100,0
2022-03-21 06:19:26Z.908,0x780db8,CES5735,23.37723,110.67724,P,29100,2101,457,100,64
2022-03-21 06:19:32Z.020,0x780db8,CES5735,23.37524,110.6894,P,29100,2101,457,100,64
2022-03-21 06:19:37Z.038,0x780db8,CES5735,23.37337,110.70074,P,29100,2101,457,100,0
2022-03-21 06:19:37Z.695,0x780db8,,0,0,N,29100,2101,457,100,0
2022-03-21 06:19:41Z.680,0x780db8,,0,0,N,29100,2101,458,100,0
2022-03-21 06:19:44Z.261,0x780db8,,0,0,N,29100,2101,457,100,0
2022-03-21 06:19:46Z.999,0x780db8,,0,0,N,29100,2101,458,100,0
2022-03-21 06:19:47Z.156,0x780db8,CES5735,23.36948,110.72466,P,29100,2101,457,100,-64
2022-03-21 06:19:50Z.666,0x780db8,CES5735,23.36829,110.7319,P,29100,2101,457,100,0
2022-03-21 06:19:52Z.580,0x780db8,CES5735,23.36769,110.73554,P,29100,2101,457,100,0
2022-03-21 06:19:53Z.572,0x780db8,CES5735,23.36732,110.73782,P,29100,2101,458,100,0
2022-03-21 06:19:56Z.386,0x780db8,CES5735,23.36618,110.74458,P,29100,2101,457,100,0
2022-03-21 06:19:57Z.120,0x780db8,CES5735,23.36583,110.74682,P,29100,2101,457,100,0
2022-03-21 06:19:59Z.386,0x780db8,CES5735,23.36508,110.75134,P,29100,2101,457,100,0
2022-03-21 06:20:05Z.490,0x780db8,CES5735,0,0,N,29100,2101,457,100,0
2022-03-21 06:20:07Z.620,0x780db8,CES5735,23.36182,110.77128,P,29100,2101,457,100,0
2022-03-21 06:20:12Z.932,0x780db8,CES5735,23.35987,110.78303,P,29100,2101,457,100,0
2022-03-21 06:20:18Z.822,0x780db8,CES5735,23.35791,110.79478,P,29100,2101,457,100,0
2022-03-21 06:20:23Z.936,0x780db8,CES5735,23.35593,110.80695,P,29100,2101,457,100,0
2022-03-21 06:20:25Z.666,0x780db8,CES5735,0,0,N,29100,2101,457,100,0
2022-03-21 06:20:33Z.596,0x780db8,CES5735,23.35236,110.82868,P,29100,2101,457,100,0
2022-03-21 06:20:38Z.772,0x780db8,CES5735,23.35043,110.84042,P,29100,2101,457,100,0
2022-03-21 06:20:43Z.714,0x780db8,CES5735,23.34874,110.85083,P,29100,2101,457,100,0
2022-03-21 06:20:59Z.832,0x780db8,CES5735,23.35812,110.88536,P,27025,2101,433,98,-21696
2022-03-21 06:20:59Z.987,0x780db8,CES5735,0,0,N,26875,2101,436,98,-21888
2022-03-21 06:21:04Z.116,0x780db8,CES5735,23.35744,110.89615,P,24925,2101,425,91,-30784
2022-03-21 06:21:09Z.150,0x780db8,CES5735,23.35661,110.90543,P,22250,2101,386,100,-30976
2022-03-21 06:21:14Z.952,0x780db8,CES5735,23.35263,110.91592,P,17325,2101,429,123,-30976
2022-03-21 06:21:19Z.828,0x780db8,CES5735,23.34474,110.92432,P,15325,2101,520,140,-22528
2022-03-21 06:21:30Z.678,0x780db8,CES5735,23.3231,110.94439,P,12725,2101,551,127,-16832
2022-03-21 06:21:35Z.160,0x780db8,CES5735,23.31711,110.95592,P,11000,2101,556,112,-21312
2022-03-21 06:21:40Z.820,0x780db8,CES5735,23.3142,110.96949,P,9150,2101,558,100,-21888
2022-03-21 06:21:45Z.578,0x780db8,CES5735,23.3149,110.98338,P,7850,2101,590,81,-15744
2022-03-21 06:21:55Z.848,0x780db8,CES5735,23.30773,111.01476,P,7425,2101,565,75,3520
2022-03-21 06:22:01Z.064,0x780db8,CES5735,23.3094,111.02875,P,8025,0,531,84,7360
2022-03-21 06:22:05Z.000,0x780db8,CES5735,23.30974,111.04041,P,8600,0,507,88,8448
2022-03-21 06:22:21Z.870,0x780db8,CES5735,23.33031,111.07468,P,8175,0,446,79,-13248
2022-03-21 06:22:31Z.888,0x780db8,CES5735,23.33533,111.09754,P,4375,0,442,73,-26752
2022-03-21 06:22:35Z.972,0x780db8,CES5735,23.33752,111.10558,P,3225,0,376,87,-30976
